Mã sự cố,Ngày lập,Trạng thái,Nhà cung cấp,Phân loại hàng,Loại sự cố,Số HĐ (INV),Bộ phận,PIC,Sub-PIC,Nhãn dán (Tags),Ghi chú chung,Mã hàng,Tên sản phẩm,Số lô,HSD,SL,ĐVT,LPN,ASN,Mô tả lỗi chi tiết,Hành động khắc phục
BBSC.HCM-0499-0926,03/09/2026,Chờ hết INV,HYPHENS,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SI-26-000423,Team ĐGC2,Như,Lữ,Urgent,,HY1100015,PIASCLEDINE TAB 30.S  ,AB763,28/02/2029,1,Hộp,LPN012177,0000038028,03.09.26 : 01 hộp rách (thùng 354),
BBSC.HCM-0499-0926,03/09/2026,Chờ hết INV,HYPHENS,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SI-26-000423,Team ĐGC2,Như,Lữ,Urgent,,HY1100015,PIASCLEDINE TAB 30.S  ,AB765,28/02/2029,4,Hộp,LPN012193,0000038028,"04.09.26 : 03h rách (thùng 119), 01h rách (thùng 370)",
BBSC.HCM-0502-0926,05/09/2026,Khởi tạo,MAYOLY,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SIVIC0075829,Kho Nhập,Trinh,Phúc,Đã mail hãng,,MY1100013,FORLAX 10G 20SACH VN (NEW),E04883,17/04/2029,2,Hộp,000241231,0000038068,Móp cấn,
BBSC.HCM-0504-0926,07/09/2026,KHỞI TẠO,GETZ,HÀNG NHẬP KHẨU,Vượt Nhiệt độ,GETZ/VIET/333/2026 & GETZ/VIET/334/2026,CN.HY,Hà,,HOLD chi nhánh,,GZ4205001,DIAMISU-70+30 100IU/ML INJ,,,0,,,,,
BBSC.HCM-0500-0926,03/09/2026,Khởi tạo,ALLEVIARE,HÀNG NHẬP KHẨU,Sai số lượng,F22700000951,Team ĐGC2,Như,Thiện,Chờ chốt hết đợt,,AV1300011,KLENZIT-C (HOP/1 TUYP 15G),10261041,06/12/2027,4,Hộp,LPN012163,0000037910,Thiếu 04 hộp trong thùng nguyên,
BBSC.HCM-0508-0926,08/09/2026,Khởi tạo,ALLEVIARE,HÀNG NHẬP KHẨU,Không đạt Cảm quan,EXP32/2026-27,Kho Nhập,Trinh,Thiện,Đã mail hãng,,AV1300027,ESOJAY 15G (HOP/ 1 TUYP),H631,12/08/2029,25,Hộp,000241555 or LPN012225,0000038131,"11 hộp móp nặng
14 hộp móp ",
BBSC.HCM-0509-0926,08/09/2026,Khởi tạo,GETZ,HÀNG NHẬP KHẨU,Không đạt Cảm quan,GETZ/VIET/376/2026,Kho Nhập,Trinh,Phúc,Chờ HÃNG,,GZ1105013,LIPIGET 20MG TAB 10.S,408F11,31/07/2029,2,hộp,000241589,0000038128,Hàng bị thiếu trong thùng nguyên,
BBSC.HCM-0509-0926,08/09/2026,Khởi tạo,GETZ,HÀNG NHẬP KHẨU,Không đạt Cảm quan,GETZ/VIET/376/2026,Kho Nhập,Trinh,Phúc,Chờ HÃNG,,GZ1105053,EMPIGET TABLETS 10MG (HOP/2 VI X 7 VIEN),130FB5,20/06/2028,2,Hộp,000241592,0000038128,Hàng bị thiếu trong 2 thùng lẻ,
BBSC.HCM-0511-0926,09/09/2026,Khởi tạo,SANOFI,HÀNG TRẢ VỀ,Không đạt Cảm quan,AR 1687193 (7/8/26),Kho Nhập,Duyên,Phúc,Not scan,,SA1100054,BISOLVON KIDS 60ML BOTx1 VN,GVH0901,30/09/2027,8,Hộp,,,Móp,Đền bù vận chuyển
BBSC.HCM-0511-0926,09/09/2026,Khởi tạo,SANOFI,HÀNG TRẢ VỀ,Không đạt Cảm quan,AR 1687193 (7/8/26),Kho Nhập,Duyên,Phúc,Not scan,,SA1107001,ACEMUC 200MG 1G_SC30_VN,GVH0753,05/04/2028,2,Hộp,,,"Móp, rách",Đền bù vận chuyển
BBSC.HCM-0511-0926,09/09/2026,Khởi tạo,SANOFI,HÀNG TRẢ VỀ,Không đạt Cảm quan,AR 1687193 (7/8/26),Kho Nhập,Duyên,Phúc,Not scan,,SA4107001,ENTEROGERMINA 2 BILLION/5ML B/ 20 BOTTLE (NEW),6I089,29/02/2028,20,Hộp,,,"Móp, rách",Đền bù vận chuyển
BBSC.HCM-0514-0926,09/09/2026,Khởi tạo,GETZ,HÀNG NHẬP KHẨU,Không đạt Cảm quan,GETZ/VIET/337/2026,Kho Nhập,Trinh,Phúc,Đã mail hãng,,GZ1301002,SALBOGET PRESSURISED INHALATION 100MCG,650M04,11/06/2028,1,Hộp,000241740,0000038151,Cấn Móp,
BBSC.HCM-0516-0926,10/09/2026,Khởi tạo,SANOFI,HÀNG TRẢ VỀ,Sai số lượng,AR 2019 (4/9/26),Kho Nhập,Duyên,Thiện,,,SA1100040,PLAVIX 75MG B/ 1BL X 14 TABS VN,HA0771,28/02/2029,4,Hộp,,,Thiếu 04 hộp,
BBSC.HCM-0518-0926,10/09/2026,Khởi tạo,HETERO,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SI3626203727/28,Kho Nhập,Trinh,Phúc,,,HT1100045,ABACAVIR TABLETS USP 300MG (HOP/1 LO 60 VIEN),E261746A,09/04/2029,88,Thùng,"000241750, 000241751, 000241752, 000241753, ","0000038175, 0000038173","Móp, rách vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0522-0926,11/09/2026,Khởi tạo,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013554225/27,Kho Nhập,Trinh,Phúc,Not scan,,RD1100016,STAMLO-T (HOP/ 28 VIEN),V2601709,30/06/2028,8,Thùng,000242265,0000038241,"Móp, dập vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0522-0926,11/09/2026,Khởi tạo,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013554225/27,Kho Nhập,Trinh,Phúc,Not scan,,RD1100016,STAMLO-T (HOP/ 28 VIEN),V2601710,30/06/2028,1,Thùng,000242267,0000038241,"Móp, dập vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0522-0926,11/09/2026,Khởi tạo,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013554225/27,Kho Nhập,Trinh,Phúc,Not scan,,RD1100017,STAMLO-T 80/5MG (HOP/28 VIEN),V2601146,31/03/2028,1,Thùng,000242266,0000038241,"Móp, dập vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0522-0926,11/09/2026,Khởi tạo,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013554225/27,Kho Nhập,Trinh,Phúc,Not scan,,RD1100017,STAMLO-T 80/5MG (HOP/28 VIEN),V2601752,30/06/2028,9,Thùng,000242189,0000038241,"Móp, dập vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0522-0926,11/09/2026,Khởi tạo,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013554225/27,Kho Nhập,Trinh,Phúc,Not scan,,RD1100029,HISTALONG L 5MG (HOP/20 VIEN),V2601819,30/06/2028,2,Thùng,000242268,0000038242,"Móp, dập vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0522-0926,11/09/2026,Khởi tạo,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013554225/27,Kho Nhập,Trinh,Phúc,Not scan,,RD1100029,HISTALONG L 5MG (HOP/20 VIEN),V2601821,30/06/2028,1,Thùng,000242269,0000038242,"Móp, dập vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0522-0926,11/09/2026,Khởi tạo,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013554225/27,Kho Nhập,Trinh,Phúc,Not scan,,RD1100029,HISTALONG L 5MG (HOP/20 VIEN),V2601537,31/05/2028,4,Thùng,000242270,0000038242,"Móp, dập vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0522-0926,11/09/2026,Khởi tạo,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013554225/27,Kho Nhập,Trinh,Phúc,Not scan,,RD1100029,HISTALONG L 5MG (HOP/20 VIEN),V2601818,30/06/2028,5,Thùng,000242271,0000038242,"Móp, dập vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0524-0926,12/09/2026,Khởi tạo,HYPHENS,CN. ĐÀ NẴNG (Điều chuyển),Không đạt Cảm quan,00036116,Kho Nhập,Yến,Phúc,,,HY1200007,XENETIX 300 (HOP/10  LO x 100ML),24WC0573,30/09/2027,6,Thùng,,,"LEM, DƠ",
BBSC.HCM-0501-0926,03/09/2026,Chờ hết INV,VE PHARMA,HÀNG NHẬP KHẨU,Không đạt Cảm quan,S18-SEA VEVN26/01/05/28,Team ĐGC2,Như,Lữ,Urgent,456 hộp móp nhẹ chữ C - LPN012207 39 hộp móp nhẹ chữ C - LPN012256,SC6100002,FEROGLOBIN B12 LIQUID 200ML  ,60258,29/02/2028,24,Hộp,LPN012179,0000037444,"03.09.26 : 12 hộp lỗi bao bì nhiều mặt, 12 hộp móp rách nặng",
BBSC.HCM-0501-0926,03/09/2026,Chờ hết INV,VE PHARMA,HÀNG NHẬP KHẨU,Không đạt Cảm quan,S18-SEA VEVN26/01/05/28,Team ĐGC2,Như,Lữ,Urgent,456 hộp móp nhẹ chữ C - LPN012207 39 hộp móp nhẹ chữ C - LPN012256,SC6100002,FEROGLOBIN B12 LIQUID 200ML  ,60258,29/02/2028,30,Hộp,"LPN012195, LPN012196",0000037444,"04.09.26 : 04 hộp lem  trầy nhiều mặt, 18 hộp móp rách nặng - LPN012195
08 hop rach nang - LPN012196",
BBSC.HCM-0501-0926,03/09/2026,Chờ hết INV,VE PHARMA,HÀNG NHẬP KHẨU,Không đạt Cảm quan,S18-SEA VEVN26/01/05/28,Team ĐGC2,Như,Lữ,Urgent,456 hộp móp nhẹ chữ C - LPN012207 39 hộp móp nhẹ chữ C - LPN012256,SC6100002,FEROGLOBIN B12 LIQUID 200ML  ,60258,29/02/2028,8,Hộp,LPN012201,0000037444,"07.09.26 :05 hộp rách nặng, 01 hộp móp nặng, 02 hộp lỗi bao bì",
BBSC.HCM-0501-0926,03/09/2026,Chờ hết INV,VE PHARMA,HÀNG NHẬP KHẨU,Không đạt Cảm quan,S18-SEA VEVN26/01/05/28,Team ĐGC2,Như,Lữ,Urgent,456 hộp móp nhẹ chữ C - LPN012207 39 hộp móp nhẹ chữ C - LPN012256,SC6100017,WELLKID MULTI-VITAMIN LIQUID (CHAI/150ML)  ,60220,31/01/2028,505,Hộp,"LPN012206, LPN012207",0000037444,"08.09.26 :
37 hộp móp rách nặng, 03 hộp lem trầy, 04 hộp ố vàng, 05 hộp mát và lem lot date - LPN012206
456 hộp móp nhẹ chữ C - LPN012207",
BBSC.HCM-0501-0926,03/09/2026,Chờ hết INV,VE PHARMA,HÀNG NHẬP KHẨU,Không đạt Cảm quan,S18-SEA VEVN26/01/05/28,Team ĐGC2,Như,Lữ,Urgent,456 hộp móp nhẹ chữ C - LPN012207 39 hộp móp nhẹ chữ C - LPN012256,SC6100019,WELLBABY MULTI-VITAMIN LIQUID (CHAI 150ML)  ,60279,31/01/2028,39,Hộp,LPN012211,0000037444,"08.09.26 : 28 hộp ố vàng, 06 hộp lem trầy, 04 hộp lỗi bao bì và móp, 01 hộp lỗi lot date",
BBSC.HCM-0501-0926,03/09/2026,Chờ hết INV,VE PHARMA,HÀNG NHẬP KHẨU,Không đạt Cảm quan,S18-SEA VEVN26/01/05/28,Team ĐGC2,Như,Lữ,Urgent,456 hộp móp nhẹ chữ C - LPN012207 39 hộp móp nhẹ chữ C - LPN012256,SC6100019,WELLBABY MULTI-VITAMIN LIQUID (CHAI 150ML)  ,60279,31/01/2028,69,Hộp,LPN012226,0000037444,"09.09.26 : 01 hộp lỗi lot date, 09 hộp lem mực, 01 hộp dơ, 02 hộp rách nặng, 14 hộp ố vàng, 42 hộp móp nặng",
BBSC.HCM-0501-0926,03/09/2026,Chờ hết INV,VE PHARMA,HÀNG NHẬP KHẨU,Không đạt Cảm quan,S18-SEA VEVN26/01/05/28,Team ĐGC2,Như,Lữ,Urgent,456 hộp móp nhẹ chữ C - LPN012207 39 hộp móp nhẹ chữ C - LPN012256,SC6100019,WELLBABY MULTI-VITAMIN LIQUID (CHAI 150ML)  ,60279,31/01/2028,11,Hộp,LPN012239,0000037444,"10.09.26 : 10 hộp lem mực, 1 hộp rách",
BBSC.HCM-0501-0926,03/09/2026,Chờ hết INV,VE PHARMA,HÀNG NHẬP KHẨU,Không đạt Cảm quan,S18-SEA VEVN26/01/05/28,Team ĐGC2,Như,Lữ,Urgent,456 hộp móp nhẹ chữ C - LPN012207 39 hộp móp nhẹ chữ C - LPN012256,SC6100017,WELLKID MULTI-VITAMIN LIQUID (CHAI/150ML)  ,60220,31/01/2028,72,Hộp,"LPN012256, LPN012257",0000037444,"14.09.26 :
39 hộp móp nhẹ chữ C - LPN012256
30 hộp móp nặng, 03 hộp lỗi mất lot date - LPN012257",
BBSC.HCM-0503-0926,07/09/2026,Hoàn tất,MEGA (MAXXCARE),HÀNG TRONG NƯỚC,Không đạt Cảm quan,213,Kho Nhập,Dung,Phúc,,,MG1100048,PERGLIM M-2 (HOP/5 VI X 20 VIEN),A08922543,07/11/2027,1,HỘP,000241241,0000038074,01 hộp móp,Hủy
BBSC.HCM-0506-0926,07/09/2026,Hoàn tất,MEGA (MAXXCARE),HÀNG TRẢ VỀ,Không đạt Cảm quan,AR 1720312 (28/8/26),Kho Nhập,Duyên,Phúc,,,MG1100043,PANFOR SR-500 (HOP/5 VI X 20 VIEN),PAF01772,22/01/2027,1,Hộp,,,Móp,Xuất bán bình thường 
BBSC.HCM-0506-0926,07/09/2026,Hoàn tất,MEGA (MAXXCARE),HÀNG TRẢ VỀ,Không đạt Cảm quan,AR 1720312 (28/8/26),Kho Nhập,Duyên,Phúc,,,MG1100043	,PANFOR SR-500 (HOP/5 VI X 20 VIEN),08882601,10/05/2029,2,Hộp,,,Móp,Xuất bán bình thường 
BBSC.HCM-0507-0926,07/09/2026,Hoàn tất,MEGA (MAXXCARE),HÀNG TRONG NƯỚC,Không đạt Cảm quan,217,Kho Nhập,Dung,Phúc,,,MG1100048,PERGLIM M-2 (HOP/5 VI X 20 VIEN),A08922544,07/11/2027,12,HỘP,000241403,0000038097,"01 hộp móp nặng
11 hộp móp nhẹ",Hủy
BBSC.HCM-0510-0926,09/09/2026,Hoàn tất,ROHTO,HÀNG TRẢ VỀ,Không đạt Cảm quan,21,Kho Nhập,Duyên,Thiện,,,RH7300172,(HOP 60 GOI) DAU GOI CHONG GAU (SELSUN ANTI-DANDRUFF SHAMPOO,FC14,11/06/2030,60,Gói,000241557,51-1200,01 hộp mờ LOT DATE,xuất trả hãng
BBSC.HCM-0525-0926,14/09/2026,Hoàn tất,MEGA (MAXXCARE),HÀNG TRONG NƯỚC,Không đạt Cảm quan,222,Kho Nhập,Dung,Phúc,,,MG1100043,PANFOR SR-500 (HOP/5 VI X 20 VIEN),08882601,10/05/2029,1,Hộp,000242312,0000038240,móp nhẹ,Chuyển bán
